詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
26563,臺華共同詞,解析,kái-sik,生活勞動,26563(1)
26564,臺華共同詞,解套,kái-thò,生活勞動,26564(1)
26565,臺華共同詞,解救,kái-kiù,生活勞動,26565(1)
26566,臺華共同詞,解碼,kái-má,生活勞動,26566(1)
26567,臺華共同詞,詳盡,siông-tsīn,性質、程度,26567(1)
26568,臺華共同詞,詩句,si-kù,文學、藝術,26568(1)
26569,臺華共同詞,詩作,si-tsok,文學、藝術,26569(1)
26570,臺華共同詞,話劇,uē-kio̍k,戲劇、音樂,26570(1)
26571,臺華共同詞,路上,lōo-siōng,交通、運輸,26571(1)
26572,臺華共同詞,路徑,lōo-kìng,道路、橋梁,26572(1)
26573,臺華共同詞,跳動,thiàu-tōng,一般動詞-活動動詞,26573(1)
26574,臺華共同詞,跳棋,thiàu-kî,休閒、娛樂,26574(1)
26575,臺華共同詞,跳樓,thiàu-lâu,災禍,26575(1)
26576,臺華共同詞,載入,tsài-ji̍p/tsài-li̍p,一般動詞-行為動詞,26576(1)
26577,臺華共同詞,載客,tsài-kheh,交通、運輸,26577(1)
26578,臺華共同詞,運量,ūn-liōng,交通、運輸,26578(1)
26579,臺華共同詞,遊樂,iû-lo̍k,休閒、娛樂,26579(1)
26580,臺華共同詞,過剩,kuè-sīng,性質、程度,26580(1)
26581,臺華共同詞,遍佈,piàn-pòo,性質、程度,26581(1)
26582,臺華共同詞,鉛球,iân-kiû,體育、運動,26582(1)
26583,臺華共同詞,電阻,tiān-tsóo,郵電、網路,26583(1)
26584,臺華共同詞,電流,tiān-liû,郵電、網路,26584(1)
26585,臺華共同詞,電路,tiān-lōo,郵電、網路,26585(1)
26586,臺華共同詞,電磁,tiān-tsû,郵電、網路,26586(1)
26587,臺華共同詞,預知,ī-ti/ū-ti,境況、狀態-擬人,26587(1)
26588,臺華共同詞,頒佈,pan-pòo,一般動詞-行為動詞,26588(1)
26589,臺華共同詞,飽滿,pá-muá,"形貌、體積,性質、程度",26589(1)
26590,臺華共同詞,嘉賓,ka-pin,交際應酬,26590(1)
26591,臺華共同詞,團費,thuân-huì,錢財資產,26591(1)
26592,臺華共同詞,圖騰,tôo-thîng,相關器具、活動,26592(1)
26593,臺華共同詞,夢見,bāng-kìnn,心理活動,26593(1)
26594,臺華共同詞,實況,si̍t-hóng,性質、程度,26594(1)
26595,臺華共同詞,實戰,si̍t-tsiàn,軍事,26595(1)
26596,臺華共同詞,對焦,tuì-tsiau,一般動詞-行為動詞,26596(1)
26597,臺華共同詞,對準,tuì-tsún,一般動詞-行為動詞,26597(1)
26598,臺華共同詞,彰顯,tsiong-hián,一般動詞-靜態動詞,26598(1)
26599,臺華共同詞,慘烈,tshám-lia̍t,性質、程度,26599(1)
26600,臺華共同詞,截稿,tsia̍t-kó,相關用語,26600(1)
26601,臺華共同詞,榮民,îng-bîn,相關用語,26601(1)
26602,臺華共同詞,演進,ián-tsìn,一般動詞-活動動詞,26602(1)
26603,臺華共同詞,演藝,ián-gē,休閒、娛樂,26603(1)
26604,臺華共同詞,漢人,Hàn-jîn/Hàn-lîn,人種、民族,26604(1)
26605,臺華共同詞,漫談,bān-tâm,事、物泛稱,26605(1)
26606,臺華共同詞,漁業,hî-gia̍p/hû-gia̍p,漁牧業,26606(1)
26607,臺華共同詞,疑點,gî-tiám,事、物泛稱,26607(1)
26608,臺華共同詞,疑難,gî-lân,事、物泛稱,26608(1)
26609,臺華共同詞,盡頭,tsīn-thâu,性質、程度,26609(1)
26610,臺華共同詞,監理,kàm-lí,一般動詞-行為動詞,26610(1)
26611,臺華共同詞,精子,tsing-tsú,生理構造,26611(1)
26612,臺華共同詞,精巧,tsing-khá,形貌、體積,26612(1)
26613,臺華共同詞,綠卡,li̍k-khah,生活用品,26613(1)
26614,臺華共同詞,罰球,hua̍t-kiû,體育、運動,26614(1)
26615,臺華共同詞,腐敗,hú-pāi,一般動詞-活動動詞,26615(1)
26616,臺華共同詞,腐爛,hú-nuā,一般動詞-活動動詞,26616(1)
26617,臺華共同詞,臺電,Tâi-tiān,郵電、網路,26617(1)
26618,臺華共同詞,舞曲,bú-khik,戲劇、音樂,26618(1)
26619,臺華共同詞,舞動,bú-tōng,一般動詞-活動動詞,26619(1)
26620,臺華共同詞,舞會,bú-huē,休閒、娛樂,26620(1)
26621,臺華共同詞,製法,tsè-huat,生活勞動,26621(1)
26622,臺華共同詞,製播,tsè-pòo,生活勞動,26622(1)
26623,臺華共同詞,認領,jīn-niá/līn-niá,生活狀況,26623(1)
26624,臺華共同詞,說唱,suat-tshiùnn,文學、藝術,26624(1)
26625,臺華共同詞,遠見,uán-kiàn,組織團體,26625(1)
26626,臺華共同詞,酵素,kànn-sòo,食物、飲料、煙酒,26626(1)
26627,臺華共同詞,銀樓,gîn-lâu/gûn-lâu,建築物、結構,26627(1)
26628,臺華共同詞,銅環,tâng-khuân,生產工具,26628(1)
26629,臺華共同詞,閣樓,koh-lâu,"建築物、結構,居住環境",26629(1)
26630,臺華共同詞,領軍,niá-kun,一般動詞-行為動詞,26630(1)
26631,臺華共同詞,劇院,kio̍k-īnn,建築物、結構,26631(1)
26632,臺華共同詞,噴射,phùn-siā,一般動詞-活動動詞,26632(1)
26633,臺華共同詞,噴墨,phùn-ba̍k,一般動詞-活動動詞,26633(1)
26634,臺華共同詞,增生,tsing-sing,,26634(1)
26635,臺華共同詞,寬容,khuan-iông,"個性風格,道德評價,待人處事",26635(1)
26636,臺華共同詞,審視,sím-sī,一般動詞-靜態動詞,26636(1)
26637,臺華共同詞,寫生,siá-sing,文學、藝術,26637(1)
26638,臺華共同詞,廢氣,huì-khì,廢棄物,26638(1)
26639,臺華共同詞,廣義,kóng-gī,性質、程度,26639(1)
26640,臺華共同詞,廠長,tshiúnn-tiúnn,相關用語,26640(1)
26641,臺華共同詞,彈奏,tuânn-tsàu,戲劇、音樂,26641(1)
26642,臺華共同詞,徵求,ting-kiû,一般動詞-行為動詞,26642(1)
26643,臺華共同詞,慧眼,huī-gán,才智能力,26643(1)
26644,臺華共同詞,摩西,Môo-se,神明、鬼怪、教派,26644(1)
26645,臺華共同詞,撥款,puah-khuán,"相關用語,財務單位、活動",26645(1)
26646,臺華共同詞,撫慰,hú-uì,待人處事,26646(1)
26647,臺華共同詞,敵對,ti̍k-tuì,待人處事,26647(1)
26648,臺華共同詞,樣式,iūnn-sik,形貌、體積,26648(1)
26649,臺華共同詞,標明,piau-bîng,境況、狀態-擬物,26649(1)
26650,臺華共同詞,樓層,lâu-tsàn,建築物、結構,26650(1)
26651,臺華共同詞,樂界,ga̍k-kài,戲劇、音樂,26651(1)
26652,臺華共同詞,樂音,ga̍k-im,戲劇、音樂,26652(1)
26653,臺華共同詞,潰瘍,khuì-iông,傷疾病痛,26653(1)
26654,臺華共同詞,熟練,si̍k-liān,一般動詞-行為動詞,26654(1)
26655,臺華共同詞,熱火,jia̍t-hué/lia̍t-hué,體育、運動,26655(1)
26656,臺華共同詞,熱度,jia̍t-tōo/lia̍t-tōo,性質、程度,26656(1)
26657,臺華共同詞,熱舞,jia̍t-bú/lia̍t-bú,休閒、娛樂,26657(1)
26658,臺華共同詞,獎牌,tsióng-pâi,體育、運動,26658(1)
26659,臺華共同詞,稿費,kó-huì,文學、藝術,26659(1)
26660,臺華共同詞,緣份,iân-hūn,"性別、婚姻,待人處事",26660(1)
26661,臺華共同詞,衛兵,uē-ping,"相關用語,軍事",26661(1)
26662,臺華共同詞,調和,tiâu-hô,一般動詞-行為動詞,26662(1)
26663,臺華共同詞,調配,tiâu-phuè/tiâu-phè,飲食行為,26663(1)
26664,臺華共同詞,調理,tiâu-lí,飲食行為,26664(1)
26665,臺華共同詞,調頻,tiâu-pîn,數詞、量詞,26665(1)
26666,臺華共同詞,論調,lūn-tiāu,事、物泛稱,26666(1)
26667,臺華共同詞,賞花,siúnn-hue,生活狀況,26667(1)
26668,臺華共同詞,賞畫,siúnn-uē,生活狀況,26668(1)
26669,臺華共同詞,踏出,ta̍h-tshut,一般動詞-行為動詞,26669(1)
26670,臺華共同詞,鋪路,phoo-lōo,生活勞動,26670(1)
26671,臺華共同詞,震動,tsìn-tōng,一般動詞-活動動詞,26671(1)
26672,臺華共同詞,駐軍,tsù-kun,軍事,26672(1)
26673,臺華共同詞,黎明,lê-bîng,"自然現象,時間節令",26673(1)
26674,臺華共同詞,儒家,Jû-ka/Lû-ka,教育、學術,26674(1)
26675,臺華共同詞,學府,ha̍k-hú,教育、學術,26675(1)
26676,臺華共同詞,學會,ha̍k-huē,教育、學術,26676(1)
26677,臺華共同詞,導師,tō-su,教育、學術,26677(1)
26678,臺華共同詞,戰事,tsiàn-sū,軍事,26678(1)
26679,臺華共同詞,橫向,huâinn-hiòng/huînn-hiòng,形貌、體積,26679(1)
26680,臺華共同詞,機油,ki-iû,生產工具,26680(1)
26681,臺華共同詞,燈具,ting-kū,生活用品,26681(1)
26682,臺華共同詞,磨練,buâ-liān,一般動詞-行為動詞,26682(1)
26683,臺華共同詞,親和,tshin-hô,"個性風格,氣質態度,待人處事",26683(1)
26684,臺華共同詞,親筆,tshin-pit,性質、程度,26684(1)
26685,臺華共同詞,親善,tshin-siān,待人處事,26685(1)
26686,臺華共同詞,謀取,bôo-tshú,生活狀況,26686(1)
26687,臺華共同詞,謀殺,bôo-sat,災禍,26687(1)
26688,臺華共同詞,遵照,tsun-tsiàu,一般動詞-行為動詞,26688(1)
26689,臺華共同詞,選務,suán-bū,政治,26689(1)
26690,臺華共同詞,選單,suán-tuann,相關用語,26690(1)
26691,臺華共同詞,鋼牙,kǹg-gê,醫療保健,26691(1)
26692,臺華共同詞,鋼筋,kǹg-kin/kǹg-kun,生產工具,26692(1)
26693,臺華共同詞,鋼絲,kǹg-si,生產工具,26693(1)
26694,臺華共同詞,錄用,lo̍k-iōng,相關用語,26694(1)
26695,臺華共同詞,錄影,lo̍k-iánn,生活勞動,26695(1)
26696,臺華共同詞,錦標,kím-piau,體育、運動,26696(1)
26697,臺華共同詞,隨機,suî-ki,性質、程度,26697(1)
26698,臺華共同詞,靜音,tsīng-im,性質、程度,26698(1)
26699,臺華共同詞,頭頂,thâu-tíng,空間方位,26699(1)
26700,臺華共同詞,應急,ìng-kip,一般動詞-行為動詞,26700(1)
26701,臺華共同詞,應徵,ìng-ting,相關用語,26701(1)
26702,臺華共同詞,擊退,kik-thè,一般動詞-活動動詞,26702(1)
26703,臺華共同詞,燭光,tsik-kng,生活用品,26703(1)
26704,臺華共同詞,環節,khuân-tsiat,事、物泛稱,26704(1)
26705,臺華共同詞,總結,tsóng-kiat,一般動詞-行為動詞,26705(1)
26706,臺華共同詞,聯播,liân-pòo,相關用語,26706(1)
26707,臺華共同詞,膽識,tám-sik,才智能力,26707(1)
26708,臺華共同詞,舉出,kí-tshut/kú-tshut,一般動詞-行為動詞,26708(1)
26709,臺華共同詞,講求,káng-kiû,,26709(1)
26710,臺華共同詞,講座,káng-tsō,生活勞動,26710(1)
26711,臺華共同詞,邀約,iau-iok,交際應酬,26711(1)
26712,臺華共同詞,鞠躬,kiok-kiong,一般動詞-活動動詞,26712(1)
26713,臺華共同詞,斷定,tuàn-tīng,事、物泛稱,26713(1)
26714,臺華共同詞,斷訊,tn̄g-sìn,郵電、網路,26714(1)
26715,臺華共同詞,斷頭,tn̄g-thâu,性質、程度,26715(1)
26716,臺華共同詞,歸類,kui-luī,事、物泛稱,26716(1)
26717,臺華共同詞,職災,tsit-tsai,"相關用語,災禍",26717(1)
26718,臺華共同詞,職缺,tsit-khueh/tsit-kheh,相關用語,26718(1)
26719,臺華共同詞,職能,tsit-lîng,相關用語,26719(1)
26720,臺華共同詞,職訓,tsit-hùn,相關用語,26720(1)
26721,臺華共同詞,藍調,nâ-tiāu,戲劇、音樂,26721(1)
26722,臺華共同詞,轉手,tsuán-tshiú,性質、程度,26722(1)
26723,臺華共同詞,轉折,tsuán-tsiat,事、物泛稱,26723(1)
26724,臺華共同詞,轉接,tsuán-tsiap,一般動詞-行為動詞,26724(1)
26725,臺華共同詞,轉速,tńg-sok,旅運設施,26725(1)
26726,臺華共同詞,鎮靜,tìn-tsīng,待人處事,26726(1)
26727,臺華共同詞,離奇,lî-kî,性質、程度,26727(1)
26728,臺華共同詞,離散,lî-sàn,生活狀況,26728(1)
26729,臺華共同詞,離職,lî-tsit,相關用語,26729(1)
26730,臺華共同詞,雜音,tsa̍p-im,擬聲、擬態,26730(1)
26731,臺華共同詞,雜質,tsa̍p-tsit,性質、程度,26731(1)
26732,臺華共同詞,雙腿,siang-thuí,生理構造,26732(1)
26733,臺華共同詞,雙親,siang-tshin,稱謂輩分,26733(1)
26734,臺華共同詞,雙贏,siang-iânn,一般動詞-靜態動詞,26734(1)
26735,臺華共同詞,雞肉,ke-bah/kue-bah,食物、飲料、煙酒,26735(1)
26736,臺華共同詞,題庫,tê-khòo/tuê-khòo,教育、學術,26736(1)
26737,臺華共同詞,鬆軟,sang-nńg,性質、程度,26737(1)
26738,臺華共同詞,穩重,ún-tiōng,"個性風格,氣質態度",26738(1)
26739,臺華共同詞,繳款,kiáu-khuán,財務單位、活動,26739(1)
26740,臺華共同詞,繳費,kiáu-huì,財務單位、活動,26740(1)
26741,臺華共同詞,藝品,gē-phín,"相關用語,生活用品",26741(1)
26742,臺華共同詞,藥廠,io̍h-tshiúnn,相關用語,26742(1)
26743,臺華共同詞,關照,kuan-tsiàu,交際應酬,26743(1)
26744,臺華共同詞,難民,lān-bîn,相關用語,26744(1)
26745,臺華共同詞,難關,lân-kuan,待人處事,26745(1)
26746,臺華共同詞,韻味,ūn-bī,體態樣貌,26746(1)
26747,臺華共同詞,顛峰,tian-hong,性質、程度,26747(1)
26748,臺華共同詞,嚴峻,giâm-tsùn,"個性風格,氣質態度",26748(1)
26749,臺華共同詞,寶典,pó-tián,生活用品,26749(1)
26750,臺華共同詞,寶島,pó-tó/pó-tóo,空間方位,26750(1)
26751,臺華共同詞,獻身,hiàn-sin,性別、婚姻,26751(1)
26752,臺華共同詞,競技,kīng-ki,體育、運動,26752(1)
26753,臺華共同詞,籌募,tiû-bōo,"相關用語,財務單位、活動",26753(1)
26754,臺華共同詞,籃框,nâ-khing,體育、運動,26754(1)
26755,臺華共同詞,警局,kíng-kio̍k,建築物、結構,26755(1)
26756,臺華共同詞,警車,kíng-tshia,旅運設施,26756(1)
26757,臺華共同詞,警界,kíng-kài,相關用語,26757(1)
26758,臺華共同詞,警消,kíng-siau,相關用語,26758(1)
26759,臺華共同詞,譯者,i̍k-tsiá,相關用語,26759(1)
26760,臺華共同詞,贏球,iânn-kiû,體育、運動,26760(1)
26761,臺華共同詞,飄揚,phiau-iông,自然現象,26761(1)
26762,臺華共同詞,黨工,tóng-kang,政治,26762(1)
26763,臺華共同詞,黨政,tóng-tsìng,政治,26763(1)
26764,臺華共同詞,黨章,tóng-tsiong,政治,26764(1)
26765,臺華共同詞,欄位,nuâ-uī,空間方位,26765(1)
26766,臺華共同詞,灌注,kuàn-tsù,一般動詞-行為動詞,26766(1)
26767,臺華共同詞,護航,hōo-hâng,交通、運輸,26767(1)
26768,臺華共同詞,護膚,hōo-hu,理容、化妝,26768(1)
26769,臺華共同詞,護欄,hōo-lân,"醫療保健,生活用品",26769(1)
26770,臺華共同詞,鐵門,thih-mn̂g,生活用品,26770(1)
26771,臺華共同詞,鐵質,thih-tsit,"資源礦物,醫療保健",26771(1)
26772,臺華共同詞,霸權,pà-khuân,政治,26772(1)
26773,臺華共同詞,魔力,môo-li̍k,相關器具、活動,26773(1)
26774,臺華共同詞,讀物,tho̍k-bu̍t,生活用品,26774(1)
26775,臺華共同詞,鑑賞,kàm-sióng,珠寶飾品,26775(1)
26776,臺華共同詞,竊盜,tshiap-tō,災禍,26776(1)
26777,臺華共同詞,變異,piàn-ī,一般動詞-靜態動詞,26777(1)
26778,臺華共同詞,變速,piàn-sok,體育、運動,26778(1)
26779,臺華共同詞,變質,piàn-tsit,一般動詞-靜態動詞,26779(1)
26780,臺華共同詞,顯出,hián-tshut,一般動詞-靜態動詞,26780(1)
26781,臺華共同詞,顯微鏡,hián-bî-kiànn,生活用品,26781(1)
26782,臺華共同詞,體悟,thé-ngōo,心理活動,26782(1)
26783,臺華共同詞,靈巧,lîng-khá,體態樣貌,26783(1)
26784,臺華共同詞,鹼性,kinn-sìng,性質、程度,26784(1)
26785,臺華共同詞,鹽份,iâm-hūn,食物、飲料、煙酒,26785(1)
26786,臺華共同詞,鹽水,iâm-tsuí,食物、飲料、煙酒,26786(1)
26787,臺華共同詞,觀想,kuan-sióng,心理活動,26787(1)
26788,臺華共同詞,觀照,kuan-tsiàu,待人處事,26788(1)
26789,臺華共同詞,觀摩,kuan-môo,一般動詞-行為動詞,26789(1)
26790,臺華共同詞,口語,kháu-gí/kháu-gú,語言、文字、符號,26790(1)
26791,臺華共同詞,大部份,tuā-pōo-hūn,性質、程度,26791(1)
26792,臺華共同詞,工錢,kang-tsînn,相關用語,26792(1)
26793,臺華共同詞,天邊,thinn-pinn,空間方位,26793(1)
26794,臺華共同詞,水底,tsuí-té,空間方位,26794(1)
26795,臺華共同詞,水缸,tsuí-kng,生活用品,26795(1)
26796,臺華共同詞,他鄉,thann-hiong,空間方位,26796(1)
26797,臺華共同詞,全家,tsuân-ke,宗族、家庭,26797(1)
26798,臺華共同詞,冷風,líng-hong,自然現象,26798(1)
26799,臺華共同詞,冷盤,líng-puânn,食物、飲料、煙酒,26799(1)
26800,臺華共同詞,含笑,hâm-tshiàu,花草樹木,26800(1)
26801,臺華共同詞,吟詩,gîm-si,文學、藝術,26801(1)
26802,臺華共同詞,稀罕,hi-hán,心理狀態,26802(1)
26803,臺華共同詞,忍心,jím-sim/lím-sim,心理狀態,26803(1)
26804,臺華共同詞,和好,hô-hó,交際應酬,26804(1)
26805,臺華共同詞,河邊,hô-pinn,空間方位,26805(1)
26806,臺華共同詞,油菜花,iû-tshài-hue,蔬果作物,26806(1)
26807,臺華共同詞,花燈,hue-ting,休閒、娛樂,26807(1)
26808,臺華共同詞,初戀,tshoo-luân,性別、婚姻,26808(1)
26809,臺華共同詞,拼音,phing-im,語言、文字、符號,26809(1)
26810,臺華共同詞,相思,siunn-si,心理活動,26810(1)
26811,臺華共同詞,軍師,kun-su,軍事,26811(1)
26812,臺華共同詞,音樂聲,im-ga̍k-siann,戲劇、音樂,26812(1)
26813,臺華共同詞,員外,uân-guē,稱謂輩分,26813(1)
26814,臺華共同詞,純情,sûn-tsîng,個性風格,26814(1)
26815,臺華共同詞,胸前,hing-tsîng,空間方位,26815(1)
26816,臺華共同詞,乾杯,kan-pue,交際應酬,26816(1)
26817,臺華共同詞,做官,tsò-kuann,相關用語,26817(1)
26818,臺華共同詞,動詞,tōng-sû,語言、文字、符號,26818(1)
26819,臺華共同詞,情份,tsîng-hūn,待人處事,26819(1)
26820,臺華共同詞,惜別,sioh-pia̍t,交際應酬,26820(1)
26821,臺華共同詞,探戈,thàn-gòo,休閒、娛樂,26821(1)
26822,臺華共同詞,殖民者,si̍t-bîn-tsiá,地位、身世、背景,26822(1)
26823,臺華共同詞,等號,tíng-hō,語言、文字、符號,26823(1)
26824,臺華共同詞,華語,Huâ-gí/Huâ-gú,語言、文字、符號,26824(1)
26825,臺華共同詞,傳教,thuân-kàu,相關器具、活動,26825(1)
26826,臺華共同詞,傳道,thuân-tō,相關器具、活動,26826(1)
26827,臺華共同詞,傷風,siong-hong,傷疾病痛,26827(1)
26828,臺華共同詞,微波爐,bî-pho-lôo,生活用品,26828(1)
26829,臺華共同詞,電台,tiān-tâi,相關用語,26829(1)
26830,臺華共同詞,夢中,bāng-tiong,心理活動,26830(1)
26831,臺華共同詞,盡心,tsīn-sim,待人處事,26831(1)
26832,臺華共同詞,福利社,hok-lī-siā,教育、學術,26832(1)
26833,臺華共同詞,語義,gí-gī/gú-gī,語言、文字、符號,26833(1)
26834,臺華共同詞,獎券,tsióng-kuàn,相關用語,26834(1)
26835,臺華共同詞,戰後,tsiàn-āu,心理活動,26835(1)
26836,臺華共同詞,親情,tshin-tsîng,宗族、家庭,26836(1)
26837,臺華共同詞,閻王,Giâm-ông,神明、鬼怪、教派,26837(1)
26838,臺華共同詞,羅馬字,Lô-má-jī/Lô-má-lī,語言、文字、符號,26838(1)
26839,臺華共同詞,讀書,tha̍k-tsu,教育、學術,26839(1)
26840,臺華共同詞,變做,piàn-tsò/piàn-tsuè,一般動詞-靜態動詞,26840(1)
26841,臺華共同詞,掃地,sàu-tè,生活勞動,26841(1)
26842,臺華共同詞,內野,lāi-iá,體育、運動,26842(1)
26843,臺華共同詞,滿壘,muá-luí,體育、運動,26843(1)
26844,臺華共同詞,全壘打,tsuân-luí-tánn,體育、運動,26844(1)
26845,臺華共同詞,界外球,kài-guā-kiû,體育、運動,26845(1)
26846,臺華共同詞,短打,tuán-tánn,體育、運動,26846(1)
26847,臺華共同詞,做對,tsò-tuì/tsuè-tuì,,26847(1)
27440,臺華共同詞,天燈,thinn-ting,相關器具、活動,27440(1)
28223,臺華共同詞,離家出走,lī-ka-tshut-tsáu,"生活狀況,房屋租賃、搬遷",28223(1)
28364,臺華共同詞,壓倒,ah-tó,,28364(1)
28471,臺華共同詞,透澈,thàu-thiat,境況、狀態-擬事,28471(1)
28620,臺華共同詞,鴨肉,ah-bah,食物、飲料、煙酒,28620(1)
28621,臺華共同詞,暗想,àm-siūnn,"心理活動,一般動詞-靜態動詞",28621(1)
28623,臺華共同詞,紅血球,âng-hueh-kiû/âng-huih-kiû,生理構造,28623(1)
28624,臺華共同詞,安全帶,an-tsuân-tuà,交通、運輸,28624(1)
28625,臺華共同詞,案由,àn-iû,法律,28625(1)
28626,臺華共同詞,後期,āu-kî,時間節令,28626(1)
28629,臺華共同詞,文武,bûn-bú,"體育、運動,軍事",28629(1)
28630,臺華共同詞,文科,bûn-kho,教育、學術,28630(1)
28631,臺華共同詞,門生,bûn-sing,相關用語,28631(1)
28632,臺華共同詞,開紅盤,khui-âng-puânn,相關用語,28632(1)
28633,臺華共同詞,文才,bûn-tsâi,"才智能力,文學、藝術",28633(1)
28634,臺華共同詞,封關,hong-kuan,交通、運輸,28634(1)
28635,臺華共同詞,物證,bu̍t-tsìng,法律,28635(1)
28636,臺華共同詞,物產,bu̍t-sán,"生活用品,食物、飲料、煙酒",28636(1)
28637,臺華共同詞,樂譜,ga̍k-phóo,戲劇、音樂,28637(1)
28638,臺華共同詞,眼界,gán-kài,事、物泛稱,28638(1)
28639,臺華共同詞,額外,gia̍h-guā,性質、程度,28639(1)
28640,臺華共同詞,研究所,gián-kiù-sóo,教育、學術,28640(1)
28641,臺華共同詞,玉環,gi̍k-khuân,珠寶飾品,28641(1)
28643,臺華共同詞,誤差,gōo-tsha,"教育、學術,事、物泛稱",28643(1)
28644,臺華共同詞,牛頭馬面,gû-thâu bé-bīn,神明、鬼怪、教派,28644(1)
28645,臺華共同詞,自然人,tsū-jiân-jîn/tsū-liân-lîn,泛稱,28645(1)
28646,臺華共同詞,外號,guā-hō,相關用語,28646(1)
28647,臺華共同詞,外行人,guā-hâng-lâng,泛稱,28647(1)
28648,臺華共同詞,外國人,guā-kok-lâng,人種、民族,28648(1)
28649,臺華共同詞,月考,gue̍h-khó/ge̍h-khó,教育、學術,28649(1)
28650,臺華共同詞,月球,gue̍h-kiû/ge̍h-kiû,天文,28650(1)
28651,臺華共同詞,月票,gue̍h-phiò/ge̍h-phiò,交通、運輸,28651(1)
28652,臺華共同詞,月薪,gue̍h-sin/ge̍h-sin,錢財資產,28652(1)
28653,臺華共同詞,下流,hā-liû,道德評價,28653(1)
28654,臺華共同詞,下凡,hā-huān,神明、鬼怪、教派,28654(1)
28655,臺華共同詞,含糊,hâm-hôo,性質、程度,28655(1)
28656,臺華共同詞,罕有,hán-iú,性質、程度,28656(1)
28657,臺華共同詞,寒帶,hân-tài,"地理,空間方位",28657(1)
28658,臺華共同詞,限時,hān-sî,性質、程度,28658(1)
28659,臺華共同詞,行號,hâng-hō,相關用語,28659(1)
28663,臺華共同詞,校刊,hāu-khan,教育、學術,28663(1)
28664,臺華共同詞,校規,hāu-kui,教育、學術,28664(1)
28665,臺華共同詞,現代人,hiān-tāi-lâng,泛稱,28665(1)
28667,臺華共同詞,血親,hiat-tshin,宗族、家庭,28667(1)
28668,臺華共同詞,還願,hîng-guān,相關器具、活動,28668(1)
28669,臺華共同詞,還債,hîng-tsè,財務單位、活動,28669(1)
28670,臺華共同詞,複審,ho̍k-sím,一般動詞-靜態動詞,28670(1)
28671,臺華共同詞,荒郊,hong-kau,地理,28671(1)
28672,臺華共同詞,放生,pàng-senn/pàng-sinn,"相關器具、活動,一般動詞-行為動詞",28672(1)
28673,臺華共同詞,放射線,hòng-siā-suànn,"天文,自然現象",28673(1)
28674,臺華共同詞,防災,hông-tsai,災禍,28674(1)
28675,臺華共同詞,護衛,hōo-uē,"軍公教業,軍事",28675(1)
28676,臺華共同詞,夢想,bāng-sióng,心理活動,28676(1)
28677,臺華共同詞,富足,hù-tsiok,"財務單位、活動,性質、程度",28677(1)
28678,臺華共同詞,副作用,hù-tsok-iōng,傷疾病痛,28678(1)
28679,臺華共同詞,父親,hū-tshin,"宗族、家庭,稱謂輩分",28679(1)
28680,臺華共同詞,花言巧語,hua-giân-khá-gí/hua-giân-khá-gú,交際應酬,28680(1)
28681,臺華共同詞,花天酒地,hua-thian-tsiú-tē/hua-thian-tsiú-tuē,交際應酬,28681(1)
28682,臺華共同詞,發條,huat-tiâu,生產工具,28682(1)
28683,臺華共同詞,發火,huat-hué/huat-hé,"心理活動,災禍",28683(1)
28684,臺華共同詞,發表會,huat-piáu-huē,相關用語,28684(1)
28685,臺華共同詞,回診,huê-tsín,醫療保健,28685(1)
28686,臺華共同詞,會考,huē-khó,教育、學術,28686(1)
28687,臺華共同詞,血清,hueh-tshing/huih-tshing,"生理構造,醫療保健",28687(1)
28688,臺華共同詞,血絲,hueh-si/huih-si,"生理構造,醫療保健",28688(1)
28689,臺華共同詞,血水,hueh-tsuí/huih-tsuí,"生理構造,醫療保健",28689(1)
28690,臺華共同詞,血球,hueh-kiû/huih-kiû,"生理構造,醫療保健",28690(1)
28691,臺華共同詞,以內,í-lāi,空間方位,28691(1)
28692,臺華共同詞,預感,ī-kám/ū-kám,心理活動,28692(1)
28693,臺華共同詞,央請,iang-tshiánn,一般動詞-行為動詞,28693(1)
28694,臺華共同詞,影像,iánn-siōng,事、物泛稱,28694(1)
28695,臺華共同詞,音標,im-piau,語言、文字、符號,28695(1)
28696,臺華共同詞,音韻,im-ūn,語言、文字、符號,28696(1)
28697,臺華共同詞,營養師,îng-ióng-su,"服務業及其他,醫療保健",28697(1)
28698,臺華共同詞,約定俗成,iok-tīng-sio̍k-sîng,一般動詞-靜態動詞,28698(1)
28699,臺華共同詞,勇猛,ióng-bíng,境況、狀態-擬人,28699(1)
28700,臺華共同詞,養病,ióng-pēnn/ióng-pīnn,醫療保健,28700(1)
28701,臺華共同詞,有求必應,iú-kiû-pit-ìng,一般動詞-靜態動詞,28701(1)
28703,臺華共同詞,誘拐,iú-kuái,一般動詞-行為動詞,28703(1)
28704,臺華共同詞,遊樂園,iû-lo̍k-hn̂g,休閒、娛樂,28704(1)
28705,臺華共同詞,遊樂區,iû-lo̍k-khu,休閒、娛樂,28705(1)
28706,臺華共同詞,游泳池,iû-íng-tî,休閒、娛樂,28706(1)
28707,臺華共同詞,人情味,jîn-tsîng-bī/lîn-tsîng-bī,事、物泛稱,28707(1)
28708,臺華共同詞,改過自新,kái-kò-tsū-sin,道德評價,28708(1)
28709,臺華共同詞,解禁,kái-kìm,一般動詞-行為動詞,28709(1)
