詞目id,漢字,羅馬字
8708,發作,huat-tsoh
8724,發芽,huat-gê
8750,發酵,huat-kà
8752,發穎,puh-ínn
8781,程序,tîng-sū
8866,絕氣,tse̍h-khuì
8886,絕種,tsua̍t-tsíng
8913,翕相,hip-siōng
8914,翕相機,hip-siōng-ki
8915,翕相館,hip-siōng-kuán
8936,菝仔,pa̍t-á
8967,菖蒲,tshiang-pôo
9043,貿,ba̍uh
9048,貿工,ba̍uh-kang
9080,貴參參,kuì-sam-sam
9085,貸款,tāi-khuánn
9096,貿頭,ba̍uh-thâu
9112,鄉村,hiong-tshuan
9121,跋倒,pua̍h--tó
9131,跛跤,páinn-kha
9178,隊員,tuī-guân
9197,開幕,khui-bōo
9239,順序,sūn-sū
9262,飯盒仔,pn̄g-a̍p-á
9286,傳,tn̂g
9348,債權,tsè-kuân
9354,塌,lap
9387,圓栱門,uân-kóng-mn̂g
9387,圓栱門,uân-kióng-mn̂g
9391,塌落,thap--lo̍h
9397,塗魠,thôo-thuh
9416,媽媽,ma-ma
9479,搝,giú
9500,搝大索,giú-tuā-soh
9503,損失,sńg-sit
9525,損神,sún-sîn
9563,搦權,la̍k-kuân
9584,會用得,ē-īng-tsit
9584,會用得,ē-īng-lit
9584,會用得,ē-īng-eh
9591,會使,ē-saih
9592,會使得,ē-sái-tsit
9592,會使得,ē-sái-lit
9592,會使得,ē-sái-eh
9599,楊桃,iûnn-thô
9602,會做得,ē-tsò-tsit/ē-tsuè-tsit
9602,會做得,ē-tsò-lit/ē-tsuè-lit
9602,會做得,ē-tsò-eh/ē-tsuè-eh
9604,業務員,gia̍p-bū-guân
9612,會堪得,ē-kham-tsit
9612,會堪得,ē-kham-lit
9612,會堪得,ē-kham-eh
9626,會曉,ē-hiáng
9633,歇,heh
9633,歇,hennh
9650,溢奶,ik-lin
9664,歇睏,heh-khùn
9664,歇睏,hennh-khùn
9749,當咧,tng-tih
9750,硼砂,pîng-se
9788,禁忌,kìm-kī
9829,節脈,tsat-be̍h
9842,罪過,tsuē-kuà
9843,罪過,tsuē-kuà
9891,萵仔菜,meh-á-tshài
9894,聖母,sìng-bió
9903,落尾,lōo-bué/lōo-bé
9904,落尾手,lōo-bué-tshiú/lōo-bé-tshiú
9907,腹肚,bak-tóo
9908,腹肚尾,bak-tóo-bué/bak-tóo-bé
9909,腹肚枵,bak-tóo-iau
9935,萬般,bān-puan
9937,落衰,lak-sui
10024,補添,póo-thinn
10043,蜈蜞,môo-khî
10043,蜈蜞,gôo-khî
10071,話母,uē-bú
10087,畫虎𡳞,uī-hóo-lān
10132,跤頭趺,kha-thâu-hu
10183,農村,lông-tshuan
10187,農具,lông-khū
10220,路程,lōo-thîng
10262,鈴仔,liâng-á
10302,飼奶,tshī-lin
10390,僭位,tshiàm-uī
10397,嘛欲,mā-bueh
10398,嘓魚,go̍k-hî/go̍k-hû
10430,圖書館,tôo-tsu-kuán
10433,團圓,thuân-uân
10438,寡,kuánn
10472,寡婦,kuánn-hū
10513,態度,thài-tōo
10536,榕,tsîng
10540,榕仔,tsîng-á
10595,滿滿,muá-muá
10610,漩,suan
10613,熁,hah
10625,演員,ián-guân
10628,漩桶,suan-tháng
10635,漉糊糜,lo̍k-kôo-muâi
10665,監囚,kann-siûnn
10676,監獄,ka-ga̍k
10676,監獄,kàm-ga̍k
10744,箸籠,tī-lang/tū-lang
10766,維持,uî-tshî
10772,罰款,hua̍t-khuánn
10792,膏肓,koo-hong
10792,膏肓,koo-hông
10797,膏膏纏,kô-kô-tînn
10799,膏藥,ko-io̍h
10835,說明,sueh-bîng/seh-bîng
10859,酵,kà
10871,酵母,kànn-bú
10871,酵母,kà-bú
10873,酸甘甜,sng-lam-tinn
10914,頕,tìm
10925,領受,líng-siū
10936,頕頭,tìm-thâu
10945,齊全,tsiâu-tsn̂g
10975,嘿,--hennh
10997,嘻嘻嘩嘩,hi-hi-hua-hua
11013,廢,huè
11021,廢止,huè-tsí
11031,徵收,tin-siu
11035,廢物,huè-bu̍t
11038,寬限,khuan-ān
11042,屧貼,siap-tia̍p
11047,廣播劇,kóng-pò-kio̍k
11057,撐,thenn
11077,撐船,thenn-tsûn
11088,憐憫,lîn-bín
11089,撐篙,thenn-ko
11103,播,pò
11126,播音,pò-im
11129,播送,pò-sàng
11131,撥開,puah-khui
11169,標致,piau-tì
11175,標準,phiau-tsún
11180,標頭,piau-thâu
11221,瘦抽,sán-thio
11228,盤喙錦,puânn-tshuì-kím
11252,窮分,khing-hun
11319,蓮蕉花,lân-tsiau-hue
11334,蝨母,sat-bú
11339,蝦蛄擗仔,hê-koo-phiak-á
